id,total_count,total_length,total_density,count_trunk,count_residential,count_tertiary,count_intersection,count_service,count_track,count_living_street,count_primary,count_secondary,count_pedestrian,length_trunk,length_residential,length_tertiary,length_intersection,length_service,length_track,length_living_street,length_primary,length_secondary,length_pedestrian,density_trunk,density_residential,density_tertiary,density_intersection,density_service,density_track,density_living_street,density_primary,density_secondary,density_pedestrian
UGA_2016_47,5.0,14551.39,324.49,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7472.28,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,166.63,0
UGA_2016_48,101.0,86872.08,1937.2,0.0,20.0,11.0,0,2.0,0.0,0.0,1.0,6.0,0,0.0,6541.25,17075.69,0,493.93,0.0,0.0,277.33,15412.92,0,0.0,145.87,380.78,0,11.01,0.0,0.0,6.18,343.7,0
UGA_2016_49,72.0,66738.35,1488.26,0.0,5.0,1.0,0,1.0,20.0,0.0,0.0,7.0,0,0.0,1966.24,3789.59,0,170.42,13582.96,0.0,0.0,11295.44,0,0.0,43.85,84.51,0,3.8,302.9,0.0,0.0,251.89,0
UGA_2016_5,13.0,20504.67,457.19,0.0,0.0,1.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,2469.31,0,0.0,7496.34,0.0,0.0,0.0,0,0.0,0.0,55.06,0,0.0,167.14,0.0,0.0,0.0,0
UGA_2016_50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_51,2.0,13850.6,308.87,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6784.15,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,151.29,0
UGA_2016_52,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_53,96.0,77703.25,1732.83,0.0,4.0,1.0,0,0.0,30.0,0.0,0.0,1.0,0,0.0,2454.93,2125.49,0,0.0,25701.68,0.0,0.0,7273.23,0,0.0,54.75,47.4,0,0.0,573.16,0.0,0.0,162.2,0
UGA_2016_54,61.0,66187.72,1476.05,0.0,10.0,3.0,0,5.0,8.0,0.0,0.0,3.0,0,0.0,13421.77,6012.98,0,391.79,9183.77,0.0,0.0,7212.87,0,0.0,299.32,134.1,0,8.74,204.81,0.0,0.0,160.85,0
UGA_2016_55,31.0,47026.43,1048.75,0.0,1.0,0.0,0,0.0,7.0,0.0,0.0,0.0,0,0.0,840.25,0.0,0,0.0,14452.52,0.0,0.0,0.0,0,0.0,18.74,0.0,0,0.0,322.31,0.0,0.0,0.0,0
UGA_2016_56,3.0,8462.04,188.72,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,7228.2,280.89,0,0.0,0.0,0.0,952.96,0.0,0,0.0,161.2,6.26,0,0.0,0.0,0.0,21.25,0.0,0
UGA_2016_57,21.0,31849.64,710.34,0.0,8.0,1.0,0,0.0,3.0,0.0,0.0,4.0,0,0.0,8642.37,2647.87,0,0.0,1355.5,0.0,0.0,10506.89,0,0.0,192.75,59.06,0,0.0,30.23,0.0,0.0,234.34,0
UGA_2016_58,19.0,38444.67,857.45,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_59,7.0,18672.08,416.46,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6834.52,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,152.44,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_6,5.0,10836.48,241.62,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7400.49,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,165.01,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_60,33.0,40981.69,914.1,0.0,11.0,1.0,0,1.0,0.0,0.0,0.0,2.0,0,0.0,3428.3,3461.91,0,384.27,0.0,0.0,0.0,7182.57,0,0.0,76.47,77.22,0,8.57,0.0,0.0,0.0,160.21,0
UGA_2016_61,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_62,57.0,42582.57,949.84,0.0,4.0,1.0,0,0.0,11.0,0.0,3.0,0.0,0,0.0,4639.1,3688.59,0,0.0,3326.89,0.0,6929.69,0.0,0,0.0,103.48,82.28,0,0.0,74.21,0.0,154.57,0.0,0
UGA_2016_63,6.0,13153.54,293.4,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7272.85,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,162.23,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_64,43.0,32080.66,715.65,0.0,8.0,2.0,0,7.0,6.0,9.0,1.0,1.0,0,0.0,4554.24,7817.2,0,4332.45,2074.33,5062.13,2704.18,4094.14,0,0.0,101.59,174.38,0,96.65,46.27,112.92,60.32,91.33,0
UGA_2016_65,1.0,2048.94,45.71,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2048.94,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,45.71,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_66,1.0,7649.92,170.66,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7649.92,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,170.66,0
UGA_2016_67,4.0,17876.88,398.81,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_68,2.0,11619.33,259.23,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,3730.82,0,0.0,0.0,0.0,0.0,7888.51,0,0.0,0.0,83.24,0,0.0,0.0,0.0,0.0,176.0,0
UGA_2016_69,1.0,2157.53,48.14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_70,3.0,10577.58,236.01,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3514.69,7062.9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,78.42,157.59,0
UGA_2016_71,31.0,49302.91,1100.19,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0,6.0,0,0.0,1064.33,5970.68,0,0.0,0.0,0.0,0.0,17000.17,0,0.0,23.75,133.24,0,0.0,0.0,0.0,0.0,379.36,0
UGA_2016_72,3.0,9193.48,205.17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_73,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_74,5.0,5294.83,118.17,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1540.37,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,34.38,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_75,9.0,23493.94,524.38,0.0,0.0,1.0,0,0.0,0.0,0.0,2.0,2.0,0,0.0,0.0,8193.33,0,0.0,0.0,0.0,1956.77,7970.12,0,0.0,0.0,182.87,0,0.0,0.0,0.0,43.67,177.89,0
UGA_2016_76,4.0,17366.74,387.62,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10449.89,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,233.24,0
UGA_2016_77,2.0,4848.53,108.22,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4848.53,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,108.22,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_78,3338.0,567175.08,12663.51,0.0,733.0,44.0,0,461.0,1315.0,0.0,23.0,17.0,0,0.0,183094.34,34954.62,0,30436.72,197701.59,0.0,13364.42,13538.67,0,0.0,4088.01,780.44,0,679.57,4414.15,0.0,298.39,302.28,0
UGA_2016_79,2.0,13042.77,291.22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6207.01,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,138.59,0
UGA_2016_8,15.0,33363.18,743.86,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10206.7,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,227.57,0,0.0,0.0,0.0,0.0,0.0,0
