cafe,hospital,clothes,museum,comms_tower,waste_basket,recycling,camera_surveillance,courthouse,swimming_pool,university,doctors,bench,car_dealership,bicycle_shop,post_office,graveyard,car_wash,public_building,atm,sports_shop,shoe_shop,sports_centre,prison,community_centre,computer_shop,mall,hotel,pub,doityourself,drinking_water,embassy,fire_station,hairdresser,cinema,artwork,nightclub,chemist,memorial,water_well,school,optician,florist,travel_agent,outdoor_shop,pitch,post_box,pharmacy,beverages,supermarket,shelter,viewpoint,camp_site,car_rental,guesthouse,toy_shop,gift_shop,department_store,greengrocer,food_court,monument,fountain,fast_food,stadium,bookshop,water_works,kiosk,convenience,bakery,kindergarten,chalet,bar,restaurant,tower,furniture_shop,college,jeweller,beauty_shop,theatre,mobile_phone_shop,hostel,motel,dentist,track,playground,tourist_info,police,picnic_site,veterinary,bank,others,stationery,butcher,park,toilet,library,telephone,laundry,attraction,town_hall,water_tower,id
1.0,9.0,0,0,0,15.0,1.0,0,1.0,0,6.0,9.0,19.0,0,0,2.0,0,26.0,14.0,5.0,0,0,0,0.0,4.0,0,0,0,1.0,0,1.0,10.0,2.0,0,3.0,0,5.0,0,0,0,79.0,0,0,0,0,0,0,26.0,0,0,0.0,0,0,2.0,0,0,0,0,0,8.0,0,2.0,14.0,0,0,0,0,0,0,11.0,0,12.0,53.0,0.0,0,23.0,0,0,1.0,0,0,0,4.0,0,0,0,15.0,0,2.0,41.0,0,0,0,0,0,3.0,0.0,0,0,0,0,MLI_2019_117
1.0,9.0,0,0,0,15.0,1.0,0,1.0,0,6.0,9.0,19.0,0,0,2.0,0,26.0,14.0,5.0,0,0,0,0.0,4.0,0,0,0,1.0,0,1.0,10.0,2.0,0,3.0,0,5.0,0,0,0,78.0,0,0,0,0,0,0,26.0,0,0,0.0,0,0,2.0,0,0,0,0,0,8.0,0,2.0,14.0,0,0,0,0,0,0,11.0,0,12.0,49.0,0.0,0,23.0,0,0,1.0,0,0,0,4.0,0,0,0,15.0,0,2.0,40.0,0,0,0,0,0,3.0,0.0,0,0,0,0,MLI_2019_118
4.0,13.0,0,0,0,1.0,3.0,0,2.0,0,5.0,11.0,6.0,0,0,5.0,0,11.0,7.0,11.0,0,0,0,1.0,7.0,0,0,0,2.0,0,2.0,22.0,2.0,0,3.0,0,7.0,0,0,0,95.0,0,0,0,0,0,0,43.0,0,0,0.0,0,0,3.0,0,0,0,0,0,5.0,0,1.0,10.0,0,0,0,0,0,0,3.0,0,13.0,73.0,1.0,0,19.0,0,0,0.0,0,0,0,0.0,0,0,0,28.0,0,0.0,58.0,0,0,0,0,0,4.0,1.0,0,0,0,0,MLI_2019_119
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,2.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_12
3.0,17.0,0,0,0,16.0,2.0,0,3.0,0,10.0,12.0,24.0,0,0,5.0,0,25.0,18.0,9.0,0,0,0,1.0,6.0,0,0,0,1.0,0,0.0,16.0,3.0,0,3.0,0,5.0,0,0,0,85.0,0,0,0,0,0,0,43.0,0,0,0.0,0,0,2.0,0,0,0,0,0,10.0,0,1.0,15.0,0,0,0,0,0,0,9.0,0,13.0,65.0,1.0,0,28.0,0,0,1.0,0,0,0,3.0,0,0,0,28.0,0,1.0,55.0,0,0,0,0,0,5.0,1.0,0,0,0,0,MLI_2019_120
3.0,17.0,0,0,0,16.0,2.0,0,3.0,0,10.0,12.0,24.0,0,0,5.0,0,25.0,18.0,9.0,0,0,0,1.0,6.0,0,0,0,1.0,0,0.0,16.0,3.0,0,3.0,0,5.0,0,0,0,85.0,0,0,0,0,0,0,43.0,0,0,0.0,0,0,2.0,0,0,0,0,0,10.0,0,1.0,15.0,0,0,0,0,0,0,9.0,0,13.0,65.0,1.0,0,28.0,0,0,1.0,0,0,0,3.0,0,0,0,28.0,0,1.0,55.0,0,0,0,0,0,5.0,1.0,0,0,0,0,MLI_2019_121
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,3.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_122
3.0,15.0,0,0,0,16.0,3.0,0,3.0,0,10.0,14.0,24.0,0,0,7.0,0,25.0,18.0,11.0,0,0,0,1.0,6.0,0,0,0,1.0,0,0.0,19.0,3.0,0,4.0,0,5.0,0,0,0,82.0,0,0,0,0,0,0,46.0,0,0,0.0,0,0,4.0,0,0,0,0,0,11.0,0,1.0,15.0,0,0,0,0,0,0,9.0,0,13.0,75.0,1.0,0,28.0,0,0,1.0,0,0,0,3.0,0,0,0,29.0,0,1.0,66.0,0,0,0,0,0,5.0,1.0,0,0,0,0,MLI_2019_123
4.0,10.0,0,0,0,1.0,3.0,0,2.0,0,4.0,10.0,5.0,0,0,4.0,0,8.0,7.0,7.0,0,0,0,1.0,7.0,0,0,0,2.0,0,1.0,18.0,2.0,0,3.0,0,5.0,0,0,0,109.0,0,0,0,0,0,0,39.0,0,0,0.0,0,0,2.0,0,0,0,0,0,5.0,0,1.0,8.0,0,0,0,0,0,0,1.0,0,7.0,59.0,1.0,0,12.0,0,0,0.0,0,0,0,0.0,0,0,0,26.0,0,0.0,52.0,0,0,0,0,0,4.0,1.0,0,0,0,0,MLI_2019_124
2.0,15.0,0,0,0,5.0,1.0,0,3.0,0,9.0,8.0,8.0,0,0,4.0,0,18.0,13.0,9.0,0,0,0,1.0,6.0,0,0,0,0.0,0,0.0,12.0,3.0,0,3.0,0,3.0,0,0,0,73.0,0,0,0,0,0,0,36.0,0,0,0.0,0,0,2.0,0,0,0,0,0,8.0,0,1.0,10.0,0,0,0,0,0,0,7.0,0,9.0,48.0,1.0,0,23.0,0,0,1.0,0,0,0,2.0,0,0,0,28.0,0,1.0,52.0,0,0,0,0,0,5.0,1.0,0,0,0,0,MLI_2019_125
