id,total_count,total_length,total_density,count_tertiary,count_trunk,count_residential,count_pedestrian,count_intersection,count_secondary,count_living_street,count_track,count_service,count_primary,length_tertiary,length_trunk,length_residential,length_pedestrian,length_intersection,length_secondary,length_living_street,length_track,length_service,length_primary,density_tertiary,density_trunk,density_residential,density_pedestrian,density_intersection,density_secondary,density_living_street,density_track,density_service,density_primary
MLI_2019_345,61.0,61477.4,1465.63,0.0,0.0,28.0,0.0,0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,3834.55,0.0,0,0.0,0.0,27335.29,0.0,6912.84,0.0,0.0,91.42,0.0,0,0.0,0.0,651.68,0.0,164.8
MLI_2019_346,111.0,105607.3,2518.73,0.0,0.0,43.0,0.0,0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,9445.92,0.0,0,0.0,0.0,36839.4,0.0,0.0,0.0,0.0,225.29,0.0,0,0.0,0.0,878.62,0.0,0.0
MLI_2019_347,311.0,136831.03,3264.24,0.0,0.0,160.0,0.0,0,1.0,0.0,59.0,0.0,2.0,0.0,0.0,34921.27,0.0,0,2780.65,0.0,48189.79,0.0,7732.94,0.0,0.0,833.08,0.0,0,66.34,0.0,1149.61,0.0,184.48
MLI_2019_348,41.0,24732.59,590.11,0.0,0.0,16.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2619.48,0.0,0,0.0,0.0,6067.43,0.0,0.0,0.0,0.0,62.5,0.0,0,0.0,0.0,144.77,0.0,0.0
MLI_2019_349,341.0,139200.47,3321.43,1.0,0.0,170.0,0.0,0,2.0,0.0,69.0,0.0,2.0,1071.13,0.0,36682.88,0.0,0,5225.95,0.0,50111.03,0.0,5418.42,25.56,0.0,875.28,0.0,0,124.7,0.0,1195.69,0.0,129.29
MLI_2019_35,35.0,28329.92,656.86,3.0,0.0,3.0,0.0,0,0.0,0.0,4.0,0.0,0.0,6669.31,0.0,1699.03,0.0,0,0.0,0.0,2225.34,0.0,0.0,154.63,0.0,39.39,0.0,0,0.0,0.0,51.6,0.0,0.0
MLI_2019_350,77.0,46048.6,1098.99,0.0,0.0,39.0,0.0,0,0.0,0.0,23.0,0.0,3.0,0.0,0.0,8206.53,0.0,0,0.0,0.0,16790.79,0.0,6950.88,0.0,0.0,195.86,0.0,0,0.0,0.0,400.73,0.0,165.89
MLI_2019_351,45.0,26766.87,638.84,0.0,0.0,1.0,0.0,0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,165.73,0.0,0,0.0,0.0,8866.13,0.0,0.0,0.0,0.0,3.96,0.0,0,0.0,0.0,211.61,0.0,0.0
MLI_2019_352,20.0,13010.44,310.53,0.0,0.0,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2326.07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.52,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_353,21.0,13032.66,311.06,0.0,0.0,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2326.07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.52,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_354,10.0,3781.53,90.26,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1377.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,32.88,0.0,0.0
MLI_2019_355,427.0,167891.92,4007.34,5.0,0.0,186.0,0.0,0,4.0,0.0,88.0,8.0,6.0,10169.29,0.0,43515.27,0.0,0,3428.48,0.0,41368.95,1197.25,6856.68,242.73,0.0,1038.65,0.0,0,81.83,0.0,987.42,28.58,163.66
MLI_2019_356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_358,444.0,191459.1,4570.39,5.0,0.0,222.0,0.0,0,4.0,0.0,110.0,7.0,6.0,7286.0,0.0,67226.21,0.0,0,4873.29,0.0,56946.98,737.89,6832.0,173.93,0.0,1604.78,0.0,0,116.33,0.0,1359.4,17.61,163.09
MLI_2019_359,444.0,191559.11,4572.77,5.0,0.0,222.0,0.0,0,4.0,0.0,110.0,7.0,6.0,7295.39,0.0,67226.21,0.0,0,4877.63,0.0,57002.58,739.26,6832.03,174.15,0.0,1604.78,0.0,0,116.44,0.0,1360.73,17.65,163.09
