id,total_count,total_length,total_density,count_intersection,count_living_street,count_trunk,count_primary,count_pedestrian,count_track,count_tertiary,count_residential,count_service,count_secondary,length_intersection,length_living_street,length_trunk,length_primary,length_pedestrian,length_track,length_tertiary,length_residential,length_service,length_secondary,density_intersection,density_living_street,density_trunk,density_primary,density_pedestrian,density_track,density_tertiary,density_residential,density_service,density_secondary
MW_2019_182,113.0,98411.46,2362.36,0,0.0,2.0,0.0,0.0,3.0,0.0,99.0,0.0,0.0,0,0.0,5340.58,0.0,0.0,656.42,0.0,73414.89,0.0,0.0,0,0.0,128.2,0.0,0.0,15.76,0.0,1762.32,0.0,0.0
MW_2019_183,125.0,92961.19,2231.51,0,0.0,2.0,0.0,0.0,1.0,0.0,90.0,0.0,0.0,0,0.0,3424.48,0.0,0.0,1074.45,0.0,64293.25,0.0,0.0,0,0.0,82.2,0.0,0.0,25.79,0.0,1543.34,0.0,0.0
MW_2019_184,96.0,81725.39,1961.79,0,0.0,0.0,0.0,0.0,9.0,6.0,65.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4556.51,6151.08,50929.04,0.0,0.0,0,0.0,0.0,0.0,0.0,109.38,147.65,1222.53,0.0,0.0
MW_2019_185,984.0,280199.13,6725.85,0,0.0,0.0,0.0,0.0,367.0,8.0,99.0,4.0,0.0,0,0.0,0.0,0.0,0.0,92509.48,12567.77,52549.87,272.8,0.0,0,0.0,0.0,0.0,0.0,2220.58,301.67,1261.4,6.55,0.0
MW_2019_186,87.0,71707.85,1721.18,0,0.0,2.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0,0.0,3605.24,0.0,0.0,0.0,0.0,58098.94,0.0,0.0,0,0.0,86.54,0.0,0.0,0.0,0.0,1394.53,0.0,0.0
MW_2019_187,606.0,259241.69,6222.4,0,0.0,3.0,0.0,0.0,13.0,10.0,92.0,1.0,2.0,0,0.0,7107.98,0.0,0.0,5548.84,7525.26,44271.17,399.69,5158.53,0,0.0,170.61,0.0,0.0,133.19,180.62,1062.61,9.59,123.82
MW_2019_188,131.0,97217.02,2333.25,0,0.0,3.0,0.0,0.0,1.0,0.0,97.0,0.0,0.0,0,0.0,4087.58,0.0,0.0,2131.67,0.0,72502.54,0.0,0.0,0,0.0,98.1,0.0,0.0,51.16,0.0,1740.09,0.0,0.0
MW_2019_189,84.0,82428.55,1978.21,0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6432.57,56623.62,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,154.38,1358.91,0.0,0.0
MW_2019_19,165.0,56800.21,1375.41,0,0.0,0.0,0.0,0.0,26.0,0.0,12.0,0.0,4.0,0,0.0,0.0,0.0,0.0,13550.91,0.0,10788.37,0.0,2756.49,0,0.0,0.0,0.0,0.0,328.13,0.0,261.24,0.0,66.75
MW_2019_190,118.0,110970.45,2663.15,0,0.0,0.0,0.0,0.0,0.0,6.0,108.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14084.13,92403.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,338.0,2217.57,0.0,0.0
MW_2019_191,599.0,243517.74,5844.03,0,0.0,1.0,0.0,0.0,54.0,1.0,76.0,0.0,2.0,0,0.0,1849.65,0.0,0.0,21482.31,1105.45,31305.54,0.0,7458.78,0,0.0,44.39,0.0,0.0,515.54,26.53,751.28,0.0,179.0
MW_2019_192,155.0,138134.7,3314.9,0,0.0,0.0,0.0,0.0,0.0,10.0,139.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22406.0,105021.93,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,537.69,2520.27,0.0,0.0
MW_2019_193,22.0,27828.38,667.77,0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0,0.0,7775.7,0.0,0.0,128.16,0.0,3816.94,0.0,0.0,0,0.0,186.59,0.0,0.0,3.08,0.0,91.59,0.0,0.0
MW_2019_194,1433.0,382381.06,9175.35,0,0.0,0.0,0.0,0.0,428.0,15.0,108.0,0.0,0.0,0,0.0,0.0,0.0,0.0,119058.6,26132.67,35753.57,0.0,0.0,0,0.0,0.0,0.0,0.0,2856.85,627.06,857.92,0.0,0.0
MW_2019_195,212.0,79889.17,1916.73,0,0.0,0.0,0.0,0.0,62.0,8.0,23.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25318.37,14278.25,14374.49,0.0,0.0,0,0.0,0.0,0.0,0.0,607.45,342.57,344.88,0.0,0.0
MW_2019_196,547.0,202663.61,4862.35,0,0.0,0.0,0.0,0.0,17.0,10.0,70.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7623.02,11307.96,25281.19,0.0,0.0,0,0.0,0.0,0.0,0.0,182.89,271.3,606.55,0.0,0.0
MW_2019_197,71.0,70246.96,1685.38,0,0.0,0.0,0.0,0.0,0.0,4.0,57.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3081.98,50658.53,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,73.94,1215.41,0.0,0.0
MW_2019_198,911.0,291445.84,6992.04,0,0.0,0.0,0.0,0.0,73.0,0.0,91.0,0.0,1.0,0,0.0,0.0,0.0,0.0,28802.96,0.0,31768.6,0.0,6923.02,0,0.0,0.0,0.0,0.0,691.01,0.0,762.16,0.0,166.09
MW_2019_199,75.0,66613.5,1598.06,0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,49459.12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1186.52,0.0,0.0
MW_2019_2,614.0,130968.43,3189.95,0,0.0,7.0,0.0,0.0,253.0,0.0,70.0,0.0,0.0,0,0.0,6305.68,0.0,0.0,57517.7,0.0,23512.0,0.0,0.0,0,0.0,153.58,0.0,0.0,1400.94,0.0,572.67,0.0,0.0
MW_2019_20,244.0,93109.39,2254.12,0,0.0,0.0,0.0,0.0,17.0,1.0,27.0,0.0,10.0,0,0.0,0.0,0.0,0.0,6423.95,2494.6,18105.69,0.0,10294.53,0,0.0,0.0,0.0,0.0,155.52,60.39,438.33,0.0,249.22
MW_2019_200,4546.0,562541.77,13495.05,0,0.0,0.0,0.0,0.0,3804.0,15.0,209.0,51.0,3.0,0,0.0,0.0,0.0,0.0,402747.32,31424.85,30776.59,3736.54,7519.28,0,0.0,0.0,0.0,0.0,9661.68,753.86,738.31,89.64,180.38
MW_2019_201,714.0,211555.19,5074.32,0,0.0,0.0,0.0,0.0,216.0,14.0,64.0,0.0,0.0,0,0.0,0.0,0.0,0.0,66400.01,21045.55,22563.46,0.0,0.0,0,0.0,0.0,0.0,0.0,1592.66,504.79,541.2,0.0,0.0
MW_2019_202,747.0,217063.54,5206.04,0,0.0,0.0,0.0,0.0,250.0,13.0,87.0,0.0,0.0,0,0.0,0.0,0.0,0.0,78941.35,17955.41,31792.55,0.0,0.0,0,0.0,0.0,0.0,0.0,1893.32,430.64,762.51,0.0,0.0
MW_2019_203,99.0,62528.04,1499.59,0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1361.1,5762.25,8561.49,0.0,0.0,0,0.0,0.0,0.0,0.0,32.64,138.19,205.33,0.0,0.0
