id,total_count,total_length,total_density,count_tertiary,count_trunk,count_pedestrian,count_secondary,count_service,count_track,count_residential,count_living_street,count_primary,count_intersection,length_tertiary,length_trunk,length_pedestrian,length_secondary,length_service,length_track,length_residential,length_living_street,length_primary,length_intersection,density_tertiary,density_trunk,density_pedestrian,density_secondary,density_service,density_track,density_residential,density_living_street,density_primary,density_intersection
NER_2011_19,3.0,13811.46,324.61,0.0,0.0,0,0.0,0.0,2.0,0.0,0,1.0,0,0.0,0.0,0,0.0,0.0,5730.1,0.0,0,8081.36,0,0.0,0.0,0,0.0,0.0,134.67,0.0,0,189.94,0
NER_2011_190,1.0,6964.33,165.13,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,6964.33,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,165.13,0.0,0.0,0.0,0,0.0,0
NER_2011_191,2.0,7678.28,182.08,0.0,0.0,0,1.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,830.79,0.0,6847.49,0.0,0,0.0,0,0.0,0.0,0,19.7,0.0,162.38,0.0,0,0.0,0
NER_2011_192,1.0,6570.43,155.81,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,6570.43,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,155.81,0.0,0,0.0,0
NER_2011_193,7.0,24656.38,584.73,0.0,0.0,0,1.0,0.0,5.0,0.0,0,1.0,0,0.0,0.0,0,4908.46,0.0,17853.55,0.0,0,1894.37,0,0.0,0.0,0,116.4,0.0,423.4,0.0,0,44.93,0
NER_2011_194,2.0,7038.85,166.93,0.0,0.0,0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,7038.85,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,166.93,0.0,0.0,0.0,0,0.0,0
NER_2011_195,5.0,14547.86,345.07,0.0,0.0,0,1.0,0.0,4.0,0.0,0,0.0,0,0.0,0.0,0,951.7,0.0,13596.17,0.0,0,0.0,0,0.0,0.0,0,22.57,0.0,322.5,0.0,0,0.0,0
NER_2011_196,2.0,12951.76,307.25,1.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,7304.08,0.0,0,0.0,0.0,0.0,0.0,0,5647.68,0,173.27,0.0,0,0.0,0.0,0.0,0.0,0,133.98,0
NER_2011_197,4.0,13629.67,323.38,0.0,0.0,0,3.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,13571.24,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,322.0,0.0,0.0,0.0,0,0.0,0
NER_2011_198,1.0,7601.37,180.36,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_199,2.0,15664.14,371.68,1.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,7530.93,0.0,0,8133.21,0.0,0.0,0.0,0,0.0,0,178.7,0.0,0,192.99,0.0,0.0,0.0,0,0.0,0
NER_2011_2,1.0,5497.74,127.99,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,5497.74,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,127.99,0.0,0.0,0.0,0,0.0,0
NER_2011_20,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_200,1.0,7171.07,170.16,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7171.07,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,170.16,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_201,1.0,7196.8,170.79,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_202,1.0,3932.72,93.33,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,3932.72,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,93.33,0.0,0.0,0.0,0,0.0,0
NER_2011_203,7.0,22234.58,527.68,2.0,0.0,0,1.0,0.0,0.0,0.0,0,2.0,0,6277.96,0.0,0,3673.59,0.0,0.0,0.0,0,7027.86,0,148.99,0.0,0,87.18,0.0,0.0,0.0,0,166.79,0
NER_2011_204,1.0,7960.01,188.97,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_205,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_206,2.0,12012.21,285.2,1.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,5591.72,0.0,0,6420.49,0.0,0.0,0.0,0,0.0,0,132.76,0.0,0,152.44,0.0,0.0,0.0,0,0.0,0
NER_2011_207,1.0,1418.38,33.68,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1418.38,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,33.68,0
NER_2011_208,5.0,16850.33,400.26,0.0,0.0,0,4.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,14738.57,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,350.1,0.0,0.0,0.0,0,0.0,0
NER_2011_209,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_21,3.0,6556.77,154.16,0.0,0.0,0,0.0,0.0,3.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,6556.77,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,154.16,0.0,0,0.0,0
NER_2011_210,3.0,8548.96,203.11,0.0,0.0,0,0.0,0.0,3.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,8548.96,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,203.11,0.0,0,0.0,0
NER_2011_211,5.0,19150.31,455.09,0.0,0.0,0,2.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,10450.98,0.0,1374.16,0.0,0,0.0,0,0.0,0.0,0,248.36,0.0,32.66,0.0,0,0.0,0
NER_2011_212,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_213,3.0,8589.33,204.21,0.0,0.0,0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,7857.04,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,186.8,0.0,0.0,0.0,0,0.0,0
NER_2011_214,4.0,8261.18,196.42,0.0,0.0,0,0.0,0.0,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,8261.18,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,196.42,0.0,0,0.0,0
NER_2011_215,2.0,2428.55,57.75,0.0,0.0,0,0.0,0.0,2.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,2428.55,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,57.75,0.0,0,0.0,0
NER_2011_216,1.0,3501.52,83.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3501.52,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,83.3,0
NER_2011_217,1.0,6640.42,158.01,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,6640.42,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,158.01,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_218,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_219,1.0,3004.59,71.51,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,3004.59,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,71.51,0.0,0.0,0.0,0,0.0,0
NER_2011_22,5.0,11590.52,272.53,0.0,0.0,0,0.0,0.0,5.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,11590.52,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,272.53,0.0,0,0.0,0
NER_2011_220,1.0,8727.71,207.75,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,8727.71,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,207.75,0.0,0,0.0,0
NER_2011_221,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_222,2.0,9799.06,233.3,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,9799.06,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,233.3,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_223,1.0,6536.81,155.66,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,6536.81,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,155.66,0.0,0,0.0,0
NER_2011_224,1.0,6849.05,163.11,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,6849.05,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,163.11,0.0,0.0,0.0,0,0.0,0
NER_2011_225,1.0,7098.96,169.09,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
NER_2011_226,2.0,7453.76,177.55,0.0,0.0,0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,7453.76,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,177.55,0.0,0.0,0.0,0,0.0,0
NER_2011_227,1.0,6902.76,164.5,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,6902.76,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,164.5,0.0,0.0,0.0,0,0.0,0
NER_2011_228,38.0,58687.81,1399.33,1.0,0.0,0,1.0,0.0,7.0,20.0,0,4.0,0,2037.69,0.0,0,2640.79,0.0,11606.93,23962.4,0,9969.5,0,48.59,0.0,0,62.97,0.0,276.75,571.35,0,237.71,0
NER_2011_229,39.0,64977.21,1549.53,1.0,0.0,0,1.0,0.0,6.0,21.0,0,4.0,0,2037.69,0.0,0,3042.85,0.0,10426.02,27761.31,0,4853.86,0,48.59,0.0,0,72.56,0.0,248.63,662.03,0,115.75,0
NER_2011_23,1.0,7382.41,173.64,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7382.41,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,173.64,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0
