id,total_count,total_length,total_density,count_trunk,count_residential,count_pedestrian,count_service,count_primary,count_intersection,count_secondary,count_living_street,count_track,count_tertiary,length_trunk,length_residential,length_pedestrian,length_service,length_primary,length_intersection,length_secondary,length_living_street,length_track,length_tertiary,density_trunk,density_residential,density_pedestrian,density_service,density_primary,density_intersection,density_secondary,density_living_street,density_track,density_tertiary
ETH_2013_399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_4,3.0,10207.08,228.78,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_402,1.0,7884.11,184.13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_404,3.0,17124.05,400.05,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3536.02,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,82.61
ETH_2013_405,4.0,6531.65,152.69,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,614.81,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.37
ETH_2013_406,9.0,21136.68,494.26,4.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,1.0,9139.41,77.78,0.0,0.0,4072.68,0,4995.36,0.0,0.0,2851.46,213.71,1.82,0.0,0.0,95.24,0,116.81,0.0,0.0,66.68
ETH_2013_407,1.0,6170.59,144.3,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6170.59,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,144.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_408,494.0,152129.65,3558.92,0.0,462.0,0.0,0.0,8.0,0,6.0,0.0,0.0,10.0,0.0,120535.25,0.0,0.0,10676.4,0,11389.42,0.0,0.0,4947.27,0.0,2819.8,0.0,0.0,249.76,0,266.44,0.0,0.0,115.74
ETH_2013_409,447.0,142888.51,3342.95,0.0,413.0,0.0,0.0,11.0,0,6.0,0.0,0.0,10.0,0.0,110953.76,0.0,0.0,12628.19,0,10252.14,0.0,0.0,3916.91,0.0,2595.82,0.0,0.0,295.44,0,239.85,0.0,0.0,91.64
ETH_2013_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_410,1.0,4715.01,110.31,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_411,1.0,6657.96,155.77,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_412,1.0,7681.43,179.91,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7681.43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.91,0,0.0,0.0,0.0,0.0
ETH_2013_413,2.0,11869.49,278.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,7284.43,0.0,0.0,4585.07,0.0,0.0,0.0,0.0,0.0,0,170.61,0.0,0.0,107.39
ETH_2013_414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_415,9.0,20649.52,483.73,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8744.15,0,0.0,0.0,0.0,2302.07,0.0,0.0,0.0,0.0,204.84,0,0.0,0.0,0.0,53.93
ETH_2013_416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_417,1.0,2870.89,67.26,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2870.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.26,0,0.0,0.0,0.0,0.0
ETH_2013_418,1.0,2265.95,53.11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_420,1.0,2542.94,59.68,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_424,3.0,12527.88,294.65,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6662.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.71,0,0.0,0.0,0.0,0.0
ETH_2013_425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_426,17.0,19532.7,460.11,0.0,0.0,0.0,6.0,2.0,0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,918.1,8269.15,0,8868.07,0.0,1092.98,0.0,0.0,0.0,0.0,21.63,194.79,0,208.9,0.0,25.75,0.0
ETH_2013_427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_428,960.0,308819.45,7274.96,0.0,788.0,1.0,69.0,0.0,0,9.0,13.0,12.0,53.0,0.0,221608.59,0.0,18053.61,0.0,0,15914.7,5122.2,10195.02,33244.01,0.0,5220.5,0.0,425.29,0.0,0,374.91,120.67,240.17,783.14
ETH_2013_429,918.0,299884.43,7064.62,0.0,736.0,1.0,74.0,0.0,0,9.0,13.0,12.0,57.0,0.0,207077.32,0.0,19091.47,0.0,0,18014.37,4088.69,10312.87,36856.49,0.0,4878.29,0.0,449.75,0.0,0,424.38,96.32,242.95,868.26
ETH_2013_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_430,445.0,169737.21,3998.67,0.0,319.0,0.0,54.0,0.0,0,9.0,11.0,10.0,36.0,0.0,103798.97,0.0,12879.42,0.0,0,21723.83,3239.07,9213.92,15505.01,0.0,2445.3,0.0,303.41,0.0,0,511.77,76.31,217.06,365.27
ETH_2013_431,1206.0,382781.96,9018.13,0.0,1048.0,1.0,59.0,0.0,0,12.0,0.0,12.0,58.0,0.0,293809.7,0.0,16085.05,0.0,0,16990.26,0.0,7428.21,40798.45,0.0,6921.99,0.0,378.95,0.0,0,400.28,0.0,175.0,961.19
ETH_2013_432,1262.0,387875.48,9138.51,0.0,1113.0,1.0,54.0,0.0,0,9.0,0.0,12.0,58.0,0.0,309472.28,0.0,13114.34,0.0,0,9322.06,0.0,5469.19,39700.84,0.0,7291.3,0.0,308.98,0.0,0,219.63,0.0,128.86,935.37
ETH_2013_433,1286.0,408616.12,9627.19,0.0,1129.0,1.0,59.0,0.0,0,12.0,0.0,11.0,58.0,0.0,316481.57,0.0,16085.05,0.0,0,18620.96,0.0,6408.72,43636.85,0.0,7456.45,0.0,378.97,0.0,0,438.72,0.0,150.99,1028.1
ETH_2013_434,1038.0,332025.17,7823.36,0.0,908.0,1.0,42.0,0.0,0,12.0,0.0,3.0,57.0,0.0,255079.02,0.0,12282.54,0.0,0,13656.25,0.0,3997.53,39920.42,0.0,6010.31,0.0,289.41,0.0,0,321.78,0.0,94.19,940.63
ETH_2013_435,807.0,248807.05,5862.92,0.0,707.0,1.0,21.0,0.0,0,6.0,0.0,3.0,57.0,0.0,198955.11,0.0,5117.24,0.0,0,2929.16,0.0,4633.53,26692.92,0.0,4688.21,0.0,120.58,0.0,0,69.02,0.0,109.19,629.0
ETH_2013_436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_437,765.0,252140.19,5941.66,0.0,691.0,1.0,10.0,0.0,0,9.0,0.0,3.0,40.0,0.0,200355.81,0.0,3295.71,0.0,0,10852.4,0.0,4939.46,28120.83,0.0,4721.37,0.0,77.66,0.0,0,255.74,0.0,116.4,662.67
ETH_2013_438,3.0,5033.58,118.67,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3148.81,0,0.0,0.0,0.0,1884.76,0.0,0.0,0.0,0.0,74.24,0,0.0,0.0,0.0,44.44
ETH_2013_439,8.0,7501.65,176.94,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6688.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,157.75,0.0,0.0,0.0
ETH_2013_44,2.0,8330.16,187.97,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
